"","Rank","Year","Title","Artist","Lyrics"
"4911",11,"2021","Drivers License","Olivia Rodrigo","I got my driver's license last week
Just like we always talked about
'Cause you were so excited for meTo finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect
But I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today I drove through the suburbs
And pictured I was driving home to you

And I know we weren't perfect
But I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fucking love you, babe (ooh, ooh-ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic
We're laughing over all the noise
God, I'm so blue, know we're through
But I still fucking love you, babe (ooh, ooh-ooh, ooh-ooh)

I know we weren't perfect
But I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Yeah, you said forever, now I drive alone past your street"
"4912",12,"2021","Brutal","Olivia Rodrigo","I want it to be, like, messy

I'm so insecure, I thinkThat I'll die before I drink
And I'm so caught up in the news
Of who likes me and who hates you
And I'm so tired that I might
Quit my job, start a new life
And they'd all be so disappointed
'Cause who am I, if not exploited?

And I'm so sick of 17
Where's my fucking teenage dream?
If someone tells me one more time
""Enjoy your youth,"" I'm gonna cry
And I don't stick up for myself
I'm anxious and nothing can help
And I wish I'd done this before
And I wish people liked me more

All I did was try my best
This the kind of thanks I get?
Unrelentlessly upset (ah, ah, ah)
They say these are the golden years
But I wish I could disappear
Ego crush is so severe
God, it's brutal out here
(Yeah!)

I feel like no one wants me
And I hate the way I'm perceived
I only have two real friends
And lately, I'm a nervous wreck
'Cause I love people I don't like
And I hate every song I write
And I'm not cool and I'm not smart
And I can't even parallel park

All I did was try my best
This the kind of thanks I get?
Unrelentlessly upset (ah, ah, ah)
They say these are the golden years
But I wish I could disappear
Ego crush is so severe
God, it's brutal out here
(Yeah! Just having a really good time)

Got a broken ego, broken heart
(It's brutal out here, it's brutal out here)
And God, I don't even know where to start"
"4913",13,"2021","Montero (Call Me By Your Name)","Lil Nas X","I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anywayWas hopin' I could catch you throwin' smiles in my face

Romantic talkin'? You don't even have to try
You're cute enough to fuck with me tonight
Lookin' at the table, all I see is weed and white
Baby, you livin' the life, but nigga, you ain't livin' right

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Mmm, mmm, mmm
Mmm, mmm, mmm

Ayy, ayy
I wanna sell what you're buyin'
I wanna feel on your ass in Hawaii
I want that jet lag from fuckin' and flyin'
Shoot a child in your mouth while I'm ridin'

Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shinin' on me

Now I can't leave
And now I'm actin' hella elite
Never want the niggas that's in my league
I wanna fuck the ones I envy, I envy

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Oh, call me by your name (mmm, mmm, mmm)
Tell me you love me in private
Call me by your name (mmm, mmm, mmm)
I do not care if you lyin'"
"4914",14,"2021","Enough For You","Olivia Rodrigo","I wore makeup when we dated
'Cause I thought you'd like me more
If I looked like the other prom queensI know that you loved before
Tried so hard to be everything that you liked
Just for you to say you're not the compliment type

And I knew how you took your coffee
And your favorite songs by heart
I read all of your self-help books
So you'd think that I was smart
Stupid, emotional, obsessive little me
I knew from the start this is exactly how you'd leave

You found someone more exciting
The next second, you were gone
And you left me there cryin', wonderin' what I did wrong
And you always say I'm never satisfied
But I don't think that's true
'Cause all I ever wanted was to be enough for you
And all I ever wanted was to be enough for you

And maybe I'm just not as interesting
As the girls you had before
But God, you couldn't have cared less
About someone who loved you more
I'd say you broke my heart
But you broke much more than that
Now I don't want your sympathy
I just want myself back

Before you found someone more exciting
The next second, you were gone
And you left me there cryin', wonderin' what I did wrong
And you always say I'm never satisfied
But I don't think that's true
'Cause all I ever wanted was to be enough

Don't you think I loved you too much to be used and discarded?
Don't you think I loved you too much to think I deserve nothing?
But don't tell me you're sorry, boy
Feel sorry for yourself
'Cause someday I'll be everything to somebody else
And they'll think that I am so exciting
And you'll be the one who's crying

Yeah, you always say I'm never satisfied
But I don't think that's true
You say I'm never satisfied
But that's not me, it's you
'Cause all I ever wanted was to be enough
But I don't think anything could ever be enough
For you, enough for you, oh-oh
No, nothing's enough for you"
"4915",15,"2021","Happier","Olivia Rodrigo","We broke up a month ago
Your friends aren't mine, you know, I know
You've moved on, found someone newOne more girl who brings out the better in you
And I thought my heart was attached
For all the sunlight of our past
But she's so sweet, she's so pretty
Does she mean you forgot about me?

Oh, I hope you're happy, but not like how you were with me
I'm selfish, I know, I can't let you go
So find someone great but don't find no one better
I hope you're happy, but don't be happier

And do you tell her she's the most beautiful girl you've ever seen?
An eternal love bullshit you know you'll never mean
Remember when I believed you meant it when you said it first to me?
And now I'm pickin' her apart
Like cuttin' her down make you miss my wretched heart
But she's beautiful, she looks kind, she probably gives you butterflies

I hope you're happy, but not like how you were with me
I'm selfish, I know, I can't let you go
So find someone great but don't find no one better
I hope you're happy, I wish you all the best, really
Say you love her, baby, just not like you loved me
And think of me fondly when your hands are on her
I hope you're happy, but don't be happier

Ooh, ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh, ooh-ooh-ooh

I hope you're happy, just not like how you were with me
I'm selfish, I know, can't let you go
So find someone great, don't find no one better
I hope you're happy, but don't be happier"
"4916",16,"2021","Without You","The Kid LAROI","You cut out a piece of me, and now I bleed internally
Left here without you (no, no, no), without you (ooh, ooh)
And it hurts for me to think about what life could possibly be likeWithout you (no, no, no), without you (no, no)

I can't believe that you would up and leave me
Fuck all of your reasons
I lost my shit, you know I didn't mean it
Now I see it, you run and repeat it
And I can't take it back, so in the past is where we'll leave it, huh

So there you go, oh
Can't make a wife out of a hoe, oh
I'll never find the words to say I'm sorry
But I'm scared to be alone

You cut out a piece of me, and now I bleed internally
Left here without you (no, no, no), without you (ooh, ooh)
And it hurts for me to think about what life could possibly be like
Without you (no, no, no), without you (no, no)

Oh-oh, woah-oh, oh-oh, woah-oh
Oh-oh, woah-oh, oh-oh, woah-oh
Without you, without you, you, ooh
Oh-oh, woah-oh, oh-oh, woah-oh
Oh-oh, woah-oh, oh-oh, woah-oh
Without you, without you, you, ooh

It's gon' be hard here on my own
And even harder to let you go, I
Really wish that we, could've got this right

So here I go, oh
Can't make a wife out of a hoe, oh
I'll never find the words to say I'm sorry
But I'm scared to be alone (oh)

You cut out a piece of me, and now I bleed internally
Left here without you (no, no, no), without you (ooh, ooh)
And it hurts for me to think about what life could possibly be like
Without you (no, no, no), without you (no, no)

Oh-oh, woah-oh, oh-oh, woah-oh
Oh-oh, woah-oh, oh-oh, woah-oh
Without you, without you (no, no, no)"
"4917",17,"2021","Rapstar","Polo G",""
"4918",18,"2021","Favorite Crime","Olivia Rodrigo","Know that I loved you so bad
I let you treat me like that
I was your willing accomplice, honeyAnd I watched as you fled the scene
Doe-eyed as you buried me
One heart broke, four hands bloody

The things I did
Just so I could call you mine
The things you did
Well, I hope I was your favorite crime

You used me as an alibi
I crossed my heart as you crossed the line
And I defended you to all my friends
And now every time a siren sounds
I wondеr if you're around
'Cause you know that I'd do it all again

Oh, the things I did
Just so I could call you minе
The things you did
Well, I hope I was your favorite crime

It's bittersweet to think about the damage that we'd do
'Cause I was goin' down, but I was doin' it with you
Yeah, everything we broke and all the trouble that we made
But I say that I hate you with a smile on my face
Oh, look what we became

Oh, the things I did
Just so I could call you mine
Oh, the things you did
Well, I hope I was your favorite crime

Your favorite crime, your favorite crime
'Cause, baby, you were mine"
"4919",19,"2021","1 Step Forward, 3 Steps Back","Olivia Rodrigo","Called you on the phone today
Just to ask you how you are
All I did was speak normallySomehow, I still struck a nerve
You got me fucked up in the head, boy
Never doubted myself so much
Like, am I pretty? Am I fun, boy?
I hate that I give you power over that kind of stuff

'Cause it's always one step forward and three steps back
I'm the love of your life until I make you mad
It's always one step forward and three steps back
Do you love me, want me, hate me?
Boy, I don't understand
No, I don't understand

And maybe, in some masochistic way
I kinda find it all excitin'
Like, which lover will I get today?
Will you walk me to the door or send me home crying?

It's one step forward and three steps back
I'm the love of your life until I make you mad
It's always one step forward and three steps back
Do you love me, want me, hate me?
Boy, I don't understand

No, it's back and forth, did I say something wrong?
It's back and forth, going over everything I said
It's back and forth, did I do something wrong?
It's back and forth, maybe this is all your fault instead

It's one step forward and three steps back
And I'd leave you, but the roller-coaster's all I've ever had
Yeah, it's one step forward and three steps back
Do you love me, want me, hate me?
Boy, I don't understand
No, I don't understand"
"4920",20,"2021","Forever After All","Luke Combs",""
"4921",21,"2021","my.life","J. Cole, 21 Savage & Morray",""
"4922",22,"2021","Blinding Lights","The Weeknd","Yeah

I've been tryin' to call
I've been on my own for long enough
Maybe you can show me how to love, maybe

I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

And I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
(Hey, hey, hey)

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

And I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just walking by to let you know (by to let you know)
I could never say it on the phone (say it on the phone)
Will never let you go this time (ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
(Hey, hey, hey)

(Hey, hey, hey)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
